experiment,source,recall_at_1,recall_at_5,recall_at_10,map,num_queries,gallery_size,image_latency_ms,text_latency_ms,peak_gpu_memory_mb,total_parameters,trainable_parameters,adapter_parameters,trainable_percent,adapter_percent,epoch,train_loss,learning_rate,elapsed_seconds
Base CLIP,test,8.9,21.25,31.05,6.286981009179193,2000.0,1000.0,2.299499399989145,1.3030889500078047,774.5791015625,151277313,0,0,0.0,0.0,,,,
LoRA main r16/a32,test,34.7,60.6,72.05,27.895941949427062,2000.0,1000.0,1.97970220001298,0.8500817499661935,782.0791015625,153243393,0,1966080,0.0,1.2829786403907149,,,,
alpha16_r16_all,validation,26.05,48.1,59.05,21.09977379492666,2000.0,1000.0,2.2928491999628022,1.1201574000224355,807.53662109375,153243393,1966080,1966080,1.2829786403907149,1.2829786403907149,3.0,0.7436817628987513,0.0,1860.5116048999917
data25_r16_a32_all,validation,21.4,42.8,53.15,17.34552790617415,2000.0,1000.0,2.289044000004651,1.127384199986409,808.61865234375,153243393,1966080,1966080,1.2829786403907149,1.2829786403907149,2.0,0.7748710076117145,3.019601169804216e-05,334.92307819999405
data50_r16_a32_all,validation,23.2,43.25,54.25,18.304565863799926,2000.0,1000.0,1.8405644000449684,0.7814060499877087,812.61865234375,153243393,1966080,1966080,1.2829786403907149,1.2829786403907149,3.0,0.6072834935248568,0.0,885.0134438999958
modules_qv_r16_a32,validation,27.05,46.4,56.8,21.261630131267626,2000.0,1000.0,2.15662239996891,1.058961900009308,796.08056640625,152260353,983040,983040,0.6456309739410626,0.6456309739410626,2.0,0.9139068012633711,3.0194301735860275e-05,1033.8816458000074
rank32_a64_all,validation,26.7,48.35,58.3,21.797333613370085,2000.0,1000.0,2.024541299993871,1.0359595000118134,830.05712890625,155209473,3932160,3932160,2.533453612074309,2.533453612074309,3.0,0.444528352467596,0.0,1926.3954926000006
rank4_a8_all,validation,24.75,45.1,55.9,20.18758620960765,2000.0,1000.0,2.3149957999994513,1.1129031000236864,790.67822265625,151768833,491520,491520,0.3238609603066527,0.3238609603066527,3.0,0.8792079526386903,0.0,1989.5621642999904
rank8_a16_all,validation,26.7,46.3,55.85,21.205529154884527,2000.0,1000.0,2.3779118999518687,1.166118049994111,796.34619140625,152260353,983040,983040,0.6456309739410626,0.6456309739410626,2.0,0.9002039794944542,3.0194301735860275e-05,1280.193412499997
reference_r16_a32_all,validation,26.85,48.5,58.5,21.541971770327663,2000.0,1000.0,2.0279886999487644,1.0324787000281503,807.54052734375,153243393,1966080,1966080,1.2829786403907149,1.2829786403907149,2.0,0.7987383687313302,3.0194301735860275e-05,1158.767242899994
